timestamp,avg_price,Binance Spot_TC,Binance Futures_TC,Bybit_TC,OKX_TC,Binance US_TC,Bitmex_TC
1753639134,0.24,5,0,0,0,0,0
1753639135,0.24,8,0,0,0,0,0
1753639136,0.24,3,0,0,0,0,0
1753639137,0.24,5,0,0,0,0,0
1753639138,0.24,4,0,0,0,1,0
1753639139,0.24,1,0,0,0,0,0
1753639140,0.24,25,0,0,0,0,0
1753639141,,0,0,0,0,0,0
1753639142,0.24,1,0,0,0,0,0
1753639143,0.24,8,0,0,0,0,0
1753639144,0.24,3,0,0,0,0,0
1753639145,,0,0,0,0,0,0
1753639146,,0,0,0,0,0,0
1753639147,0.24,31,0,0,0,0,0
1753639148,0.24,3,0,0,0,0,0
1753639149,0.24,8,0,0,0,0,0
1753639150,0.24,5,0,0,0,0,0
1753639151,,0,0,0,0,0,0
1753639152,,0,0,0,0,0,0
1753639153,,0,0,0,0,0,0
1753639154,,0,0,0,0,0,0
1753639155,,0,0,0,0,0,0
1753639156,0.24,9,0,0,0,0,0
1753639157,0.24,3,0,0,0,0,0
1753639158,0.24,17,0,0,0,1,0
1753639159,0.24,17,0,0,0,0,0
1753639160,0.24,1,0,0,0,0,0
1753639161,0.24,2,0,0,0,0,0
1753639162,0.24,13,0,0,0,0,0
1753639163,,0,0,0,0,0,0
1753639164,,0,0,0,0,0,0
1753639165,,0,0,0,0,0,0
1753639166,0.24,23,0,0,0,0,0
1753639167,0.24,3,0,0,0,0,0
1753639168,,0,0,0,0,0,0
1753639169,,0,0,0,0,0,0
1753639170,0.24,22,0,0,0,0,0
1753639171,,0,0,0,0,0,0
1753639172,0.24,5,0,0,0,0,0
1753639173,0.24,3,0,0,0,0,0
1753639174,0.24,15,0,0,0,0,0
1753639175,,0,0,0,0,0,0
1753639176,0.24,2,0,0,0,0,0
1753639178,0.24,16,0,0,0,0,0
1753639179,0.24,87,0,0,0,0,0
1753639180,,0,0,0,0,0,0
1753639181,0.24,3,0,0,0,0,0
1753639182,,0,0,0,0,0,0
1753639183,0.24,1,0,0,0,0,0
1753639184,,0,0,0,0,0,0
1753639185,,0,0,0,0,0,0
1753639186,,0,0,0,0,0,0
1753639187,,0,0,0,0,0,0
1753639188,,0,0,0,0,0,0
1753639189,0.24,34,0,0,0,0,0
1753639190,0.24,12,0,0,0,0,0
1753639191,0.24,14,0,0,0,0,0
1753639192,0.24,20,0,0,0,0,0
1753639193,0.24,16,0,0,0,0,0
1753639194,,0,0,0,0,0,0
1753639195,0.24,3,0,0,0,0,0
1753639196,0.24,1,0,0,0,0,0
1753639197,0.24,4,0,0,0,0,0
1753639198,,0,0,0,0,0,0
1753639199,0.24,82,0,0,0,0,0
1753639200,0.24,70,0,0,0,0,0
1753639201,0.24,18,0,0,0,0,0
1753639202,0.24,28,0,0,0,0,0
1753639203,0.24,43,0,0,0,0,0
1753639204,0.24,4,0,0,0,0,0
1753639205,0.24,14,0,0,0,0,0
1753639206,0.24,3,0,0,0,0,0
1753639207,0.24,82,0,0,0,0,0
1753639208,0.24,5,0,0,0,0,0
1753639209,0.24,37,0,0,0,0,0
1753639210,0.24,18,0,0,0,0,0
1753639211,0.24,36,0,0,0,0,0
1753639212,0.24,33,0,0,0,0,0
1753639213,0.24,258,0,0,0,0,0
1753639214,0.24,92,0,0,0,0,0
1753639215,0.24,116,0,0,0,0,0
1753639216,0.24,3,0,0,0,0,0
1753639217,0.24,49,0,0,0,0,0
1753639218,0.24,32,0,0,0,0,0
1753639219,0.24,4,0,0,0,0,0
1753639220,0.24,6,0,0,0,0,0
1753639221,0.24,77,0,0,0,0,0
1753639222,0.24,7,0,0,0,0,0
1753639223,0.24,10,0,0,0,0,0
1753639224,0.24,58,0,0,0,0,0
1753639225,0.24,9,0,0,0,0,0
1753639226,0.24,46,0,0,0,0,0
1753639227,0.24,1,0,0,0,0,0
1753639228,0.24,29,0,0,0,0,0
1753639229,0.24,0,0,0,0,1,0
1753639230,0.24,25,0,0,0,0,0
1753639231,0.24,5,0,0,0,0,0
1753639232,0.24,13,0,0,0,0,0
1753639233,0.24,1,0,0,0,0,0
1753639234,0.24,5,0,0,0,0,0
1753639235,0.24,2,0,0,0,0,0
1753639236,0.24,1,0,0,0,0,0
1753639237,0.24,13,0,0,0,0,0
1753639238,0.24,6,0,0,0,0,0
